tau,tau_b,tau_a,tauAP,tauAP_b,tauAP_a,tauH,tauH_b,tauH_a
-0.09437890353920889,-0.40573675688179506,-0.25489243580847143,-0.062454552441813034,-0.3719882637614876,-0.22552405635352343,-0.05049994531998148,-0.43778171009987393,-0.2804178400864975
-0.0710724967953283,-0.3137729668138442,-0.15168779376157543,-0.07200122491413023,-0.2945378590620608,-0.13427981404416373,-0.047845022380462544,-0.14789267444689289,-0.02783569516199722
0.05742806811509102,-0.3118027011156782,-0.17894304169113634,0.03989202852048928,-0.2985613294056973,-0.1726953197724317,-0.04373214967864073,-0.17784802344345116,-0.06761529297912158
-0.09003174603174603,-0.4186666666666667,-0.2683047619047663,-0.11147889886042478,-0.4566273507366662,-0.28789656340178327,-0.07964969724595218,-0.4261400649111131,-0.26514198324539434
0.010397379290699331,-0.2924084888192565,-0.13389830508474904,-0.004788969007678478,-0.291339803223708,-0.13719789395490134,-7.504483639863665e-05,-0.18641716352088802,-0.05969024087777514
0.1375483870967742,-0.38787096774193547,-0.24805161290323224,0.12940828560478274,-0.4086422224900663,-0.25392636250992245,0.24842504372356047,-0.37184680319471786,-0.24352167553184764
0.02465680394508863,-0.3602558976409436,-0.19788084766094013,0.047539046177074995,-0.39573835994222917,-0.227303173170712,0.042929097013945386,-0.3154744685869419,-0.15553904995321705
0.08492470113336438,-0.4072349014128241,-0.21336748952026513,0.09448387058049273,-0.3891073624818367,-0.19215613488338112,0.1486998997748648,-0.4258589753096672,-0.2146879350296046
0.049586776859504134,-0.35454545454545455,-0.1651515151515171,0.012528293441871714,-0.34504553453720854,-0.16553222677511567,-0.0009367022998346785,-0.2328947380551251,-0.05822788639031004
0.014777131782945737,-0.29796511627906974,-0.14407703488372267,-0.020116156579594514,-0.2739800333793351,-0.11858516765205146,0.12763046264837208,-0.3323345274066931,-0.18041311787927258
-0.027047619047619046,-0.42323809523809525,-0.26419047619048114,-0.04191649369591621,-0.41978066970711075,-0.26040203519657373,-0.11608185368406757,-0.4367186907944716,-0.28910755786564646
0.07682539682539682,-0.3333333333333333,-0.16871111111111387,0.02588931429248139,-0.33188411487343694,-0.17795466316167224,0.07573911808432764,-0.41928030137604233,-0.1981553972130036
0.02096149464570517,-0.33857370699475964,-0.19629756208703986,0.06899570666723114,-0.35370485752613035,-0.19739700239541963,0.017907523156533114,-0.3217000115240886,-0.18000599268733028
0.0075134168157423974,-0.29970184853905785,-0.1540608228980346,0.019136489173408294,-0.3142251334163261,-0.17062696032352206,-0.05656747869926922,-0.2673314028697235,-0.14960522480020336
-0.014873140857392825,-0.25859267591551055,-0.11727284089488872,-0.0400809181551767,-0.1743166083958945,-0.04077061954625136,0.015186717041034572,-0.11377722570082902,-0.022598441670209832
0.07762771579565472,-0.31767469172049323,-0.1861655901350611,0.0627874494591493,-0.2629778081837918,-0.13117740488444088,0.08681090475396991,-0.2558636398360598,-0.15853872885164969
-0.09439775910364145,-0.3302521008403361,-0.15780112044818176,-0.03813209830204125,-0.36460727320873326,-0.18270544431891658,0.011253856537693202,-0.25004837428297283,-0.0939375236612686
0.03329032258064516,-0.352,-0.20646451612903616,0.008241223919341713,-0.3268571303141575,-0.19623068314430167,-0.03038258862058014,-0.3444738092002288,-0.18065597329162436
-0.06868987942013277,-0.2862755724156618,-0.1781059477035648,-0.060267544553321895,-0.2409824156477212,-0.14713893840333306,0.16854662521906555,-0.2654292380026064,-0.1510999697435793
0.030603174603174604,-0.31784126984126987,-0.16819047619047733,0.024454499818353726,-0.34977089319209065,-0.19753983159288077,-0.14500183324953206,-0.249272022001783,-0.0959346170349426
0.08333333333333333,-0.24324324324324326,-0.059121621621623086,0.06209382907660549,-0.28092397418715964,-0.09426404356856082,0.0004262128823558703,-0.3836173219177762,-0.1530685550974376
0.004837364470391993,-0.3684737281067556,-0.15102585487906847,-0.011878451228110105,-0.38009675544918275,-0.16542252523757658,0.026516807666675968,-0.3309762428320594,-0.09929999646271813
-0.10159700985389059,-0.40129119945633707,-0.18170234454638545,-0.05470949474474311,-0.36744362074151476,-0.15819937659572653,-0.0649823231722241,-0.3875380912283043,-0.15583355682652308
-0.14141958670260557,-0.3178796046720575,-0.10019766397125399,-0.1736093561238774,-0.3350484829296858,-0.127869754960787,-0.149781262454831,-0.4094154647154459,-0.17426249426687157
-0.05547226386806597,-0.15982008995502248,0.006656671664168318,-0.015559220945513768,-0.152684651250451,0.006851145045349695,-0.15041453182002684,-0.21390414553081757,-0.03478279694784248
0.00695970695970696,-0.252014652014652,-0.045824175824175965,-0.019188771483055696,-0.245186818754858,-0.042599006006577955,0.07146939131253206,-0.18616378725819654,0.013250447260145473
0.012265176214873467,-0.232106815711846,-0.03646949231485963,-0.014271272855944974,-0.2831674067015368,-0.07853217289077724,-0.14176015954229018,-0.43662496360228115,-0.19534038701770864
-0.17898248540450376,-0.46388657214345286,-0.24585487906588718,-0.15235947476970435,-0.45572198817673437,-0.24256755670356484,-0.27185578156785667,-0.4438921778527229,-0.21723050209646041
