tau,tau_s,tau_ar,tau_a,tau_m,tauAP,tauAP_s,tauAP_ar,tauAP_a,tauAP_m,tauH,tauH_s,tauH_ar,tauH_a,tauH_m
0.18712350597609562,0.667187250996016,0.7123816733067897,-0.02588235294117647,0.5433070866141733,0.26735318130089064,0.547504999446901,0.6113017117508996,-0.10078701423622671,0.4008527998720838,0.25240347676671476,0.5973839332633075,0.6455462915150556,0.08901357455519564,0.8363570608951079
0.7338704745596869,1.0,1.0,0.0,0.0,0.6849510455588201,1.0,1.0,0.0,0.0,0.7727613333227994,1.0,1.0,0.0,0.0
0.506217958479265,0.3632810517232628,0.4307598599055907,0.6599326599326599,0.5348360655737705,0.5576252816819123,0.23221707846641745,0.3080803748589718,0.6767578615085643,0.6604500005017566,0.556514733517756,0.5412698955968067,0.5910283209578757,0.7784457442827161,0.5249984171259062
0.5294285918615461,0.47600657941786456,0.5873560752342115,0.6576876513317191,0.9290586630286494,0.5553792298433087,0.33623718875603575,0.47239056405441143,0.5624945426115655,0.9340264909002238,0.6030415765375121,0.6429855415901604,0.7207478748668201,0.7980285325518058,0.9430966973634675
0.41575020723956896,0.6144422952933591,0.6921115409413144,0.5010521393500117,0.6363636363636364,0.3594233093599643,0.4482926162810169,0.5512685647268103,0.42213505546552715,0.6593693375120844,0.42360557764831286,0.7511171687761465,0.8028201480561119,0.7017620585170615,0.6396986774037561
0.501195072623644,0.10038610038610038,0.17886100386100434,0.40433673469387754,0.3588709677419355,0.45738136114891564,0.036560337498987454,0.10882151432447729,0.36150795352308834,0.3067317572975857,0.3553103879225029,-0.16339894282694495,-0.07064861348404182,0.20246148051856577,0.5091406781163177
0.33271474019088015,0.35271591846353245,0.4488533934253901,0.2975227502527806,0.675270607826811,0.36152489168273266,0.5128589518767148,0.5832358011172661,0.3060422817455277,0.6700105293632433,0.2584419967646701,0.28459733704186213,0.3911376428613549,0.27345693395579984,0.7172191889063659
0.7851435335898195,0.3238912611508054,0.39479241533842846,0.8939626681562165,0.9142976588628763,0.7935570578322447,0.2683782643143746,0.35162986565696613,0.8609440100085618,0.8623510990980744,0.762302853236813,0.45267979052324403,0.5078874368335072,0.9066945963985681,0.9149790648780979
0.5195654019183431,0.750445632798574,0.8015533486121704,0.9151608355760605,0.6871880199667221,0.5039970897485107,0.5862962308329301,0.6674865900574483,0.6867992510888693,0.46078829486760864,0.42148189476597087,0.8451281827600425,0.8773482317339851,0.9706040021854428,0.6961841009574905
0.19520264681555005,0.9488833746898263,0.9543052109181117,-0.7161290322580646,0.0,0.18297879093312358,0.9384746805819939,0.9450066702005671,-0.7218568540296096,0.0,0.28304928490198134,0.944819678815309,0.9506717887244287,-0.5346296140794662,0.0
0.5060858424087123,0.8942184497117233,0.9074091127482402,0.92152466367713,0.2,0.5303936937091857,0.8089094548509467,0.8328436844216143,0.7578962399724943,-0.08695652173913038,0.5101681311151556,0.936861988240958,0.9447454340199447,0.9753885812419347,0.21230727069564723
-0.023375984251968504,1.0,1.0,0.0,0.0,0.07659258106613666,1.0,1.0,0.0,0.0,-0.0017071113079010114,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26538529359901253,0.23399753129959444,0.39389878328336947,0.3497304582210243,0.07650273224043716,0.235612083531844,0.08643200901643856,0.26072931177221104,0.2720369502422833,0.2144125258687548,0.35703388734016617,0.4470058449456554,0.5703984728543962,0.5645740589118,0.059193409599025484
0.2444191488016189,0.9368873711503194,0.9524505153987224,0.8645418326693227,1.0,0.26613753966005665,0.8695945457492207,0.9022911079151014,0.7256474785304045,1.0,0.3052642075146652,0.9625984270240513,0.9718188166462718,0.945463319768297,1.0
0.012057986722666305,1.0,1.0,0.0,0.0,0.029395519765848244,1.0,1.0,0.0,0.0,0.2138837315929798,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6708522899605702,0.9016075219896876,0.9113011828935391,0.9855095541401274,0.8415300546448088,0.6847051815880774,0.8335231186068471,0.8486232476578122,0.8374404715872564,0.5483134924808448,0.7252238032617301,0.9409628642520582,0.9468448396082194,0.9958249971677279,0.8436093263651082
